epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.34375,,,
0,99,0.71875,,,
0,120,,,0.649068295955658,1.586154818534851
0,120,,2.2525417804718018,,
1,149,0.71875,,,
1,199,0.6875,,,
1,241,,,0.7132505178451538,0.9697151780128479
1,241,,1.1239981651306152,,
2,249,0.5625,,,
2,299,0.90625,,,
2,349,0.84375,,,
2,362,,,0.6563146710395813,0.9723667502403259
2,362,,0.8364014029502869,,
3,399,0.875,,,
3,449,0.875,,,
3,483,,,0.7432712316513062,0.7833516597747803
3,483,,0.7220866084098816,,
4,499,0.8125,,,
4,549,0.84375,,,
4,599,0.78125,,,
4,604,,,0.8530020713806152,0.5107824206352234
4,604,,0.6419627666473389,,
5,649,0.78125,,,
5,699,0.875,,,
5,725,,,0.8364388942718506,0.5399109721183777
5,725,,0.6141098141670227,,
6,749,0.875,,,
6,799,0.875,,,
6,846,,,0.6925466060638428,0.8101383447647095
6,846,,0.572155237197876,,
7,849,0.9375,,,
7,899,0.75,,,
7,949,0.90625,,,
7,967,,,0.760869562625885,0.6690968871116638
7,967,,0.5428402423858643,,
8,999,0.875,,,
8,1049,0.75,,,
8,1088,,,0.827122151851654,0.47984734177589417
8,1088,,0.5275911092758179,,
9,1099,0.90625,,,
9,1149,0.71875,,,
9,1199,0.875,,,
9,1209,,,0.8840579986572266,0.4019389748573303
9,1209,,0.48708075284957886,,
10,1249,0.78125,,,
10,1299,0.75,,,
10,1330,,,0.8354037404060364,0.4744238555431366
10,1330,,0.46993231773376465,,
11,1349,0.875,,,
11,1399,0.84375,,,
11,1449,0.8125,,,
11,1451,,,0.8436853289604187,0.48890936374664307
11,1451,,0.4364880919456482,,
12,1499,0.75,,,
12,1549,0.71875,,,
12,1572,,,0.9016563296318054,0.3233458697795868
12,1572,,0.4395257234573364,,
13,1599,0.8125,,,
13,1649,0.9375,,,
13,1693,,,0.8654244542121887,0.3606114089488983
13,1693,,0.40520018339157104,,
14,1699,0.90625,,,
14,1749,0.875,,,
14,1799,0.90625,,,
14,1814,,,0.8944099545478821,0.36854177713394165
14,1814,,0.4258013069629669,,
15,1849,0.78125,,,
15,1899,0.8125,,,
15,1935,,,0.8612836599349976,0.40752360224723816
15,1935,,0.39479318261146545,,
16,1949,0.8125,,,
16,1999,0.84375,,,
16,2049,0.8125,,,
16,2056,,,0.9068322777748108,0.31997016072273254
16,2056,,0.41064539551734924,,
17,2099,0.84375,,,
17,2149,0.875,,,
17,2177,,,0.9047619104385376,0.32196199893951416
17,2177,,0.3919585943222046,,
18,2199,0.875,,,
18,2249,0.84375,,,
18,2298,,,0.8488612771034241,0.40541526675224304
18,2298,,0.42361587285995483,,
19,2299,0.84375,,,
19,2349,0.90625,,,
19,2399,0.90625,,,
19,2419,,,0.8892339468002319,0.3393375873565674
19,2419,,0.4026240110397339,,
20,2449,0.875,,,
20,2499,0.8125,,,
20,2540,,,0.8416149020195007,0.38328391313552856
20,2540,,0.3783474564552307,,
21,2549,0.84375,,,
21,2599,0.9375,,,
21,2649,0.875,,,
21,2661,,,0.9213250279426575,0.2516779899597168
21,2661,,0.3400558531284332,,
22,2699,0.84375,,,
22,2749,0.96875,,,
22,2782,,,0.8457556962966919,0.4243300259113312
22,2782,,0.3363686203956604,,
23,2799,0.84375,,,
23,2849,0.96875,,,
23,2899,1.0,,,
23,2903,,,0.827122151851654,0.4958229064941406
23,2903,,0.338191956281662,,
24,2949,0.9375,,,
24,2999,0.96875,,,
24,3024,,,0.909937858581543,0.2571278214454651
24,3024,,0.36007681488990784,,
25,3049,0.9375,,,
25,3099,0.90625,,,
25,3145,,,0.8695651888847351,0.3637675940990448
25,3145,,0.35728156566619873,,
26,3149,0.875,,,
26,3199,0.84375,,,
26,3249,0.8125,,,
26,3266,,,0.8964803218841553,0.324236661195755
26,3266,,0.3411058783531189,,
